id;prize_name;marca;sorted;createdAt;updatedAt
1;Anteojos;Karün;0;13-12-2023;13-12-2023
2;Bote inflable de 3 mt.;Bestway;0;13-12-2023;13-12-2023
3;Masaje;Bindu SPA;0;13-12-2023;13-12-2023
4;Masaje;Bindu SPA;0;13-12-2023;13-12-2023
5;6 piscos;Capel;0;13-12-2023;13-12-2023
6;6 piscos;Capel;0;13-12-2023;13-12-2023
7;Giftcard 50.000;Cardinale;0;13-12-2023;13-12-2023
8;Brunch para dos;Castillo Forestal;0;13-12-2023;13-12-2023
9;Giftcard 20.000;Chicken Lov U;0;13-12-2023;13-12-2023
10;Giftcard 20.000;Chicken Lov U;0;13-12-2023;13-12-2023
11;Polar;Froens;0;13-12-2023;13-12-2023
12;Polar;Froens;0;13-12-2023;13-12-2023
13;Ropa;Kapura;0;13-12-2023;13-12-2023
14;Cervezas;Loa;0;13-12-2023;13-12-2023
15;Grabado;Macarena Matte;0;13-12-2023;13-12-2023
16;Poleron, polar y polera;Nauta;0;13-12-2023;13-12-2023
17;Gittcard 40.000;Tio Tomate;0;13-12-2023;13-12-2023
18;Vestido Camille;Urco;0;13-12-2023;13-12-2023
19;Arca;Giftcard 25.000;0;13-12-2023;13-12-2023
20;Arca;Giftcard 25.000;0;13-12-2023;13-12-2023
21;Cuadro a elección;Arte Court;0;13-12-2023;13-12-2023
22;6 pack artesanal;Benbräu Brewin;0;13-12-2023;13-12-2023
23;Cafetera;Brando;0;13-12-2023;13-12-2023
24;Grabado;Carola Gasic;0;13-12-2023;13-12-2023
25;Sesión Colorimetría;Cata Cibie;0;13-12-2023;13-12-2023
26;Joyas;Cata Salinas;0;13-12-2023;13-12-2023
27;Esclava;CBC Jewelry;0;13-12-2023;13-12-2023
28;Desayuno doble;DeAlma Desayuno;0;13-12-2023;13-12-2023
29;Giftcard para bikini;Jose Herrera;0;13-12-2023;13-12-2023
30;Giftcard para bikini;Jose Herrera;0;13-12-2023;13-12-2023
31;Cuadro Bordado;La Casa del Magnolio;0;13-12-2023;13-12-2023
32;Giftcard 20.000;Lärss;0;13-12-2023;13-12-2023
33;Giftcard 30.000;Muth Boutique;0;13-12-2023;13-12-2023
34;Giftcard 30.000;Muth Boutique;0;13-12-2023;13-12-2023
35;Linterna Cabeza;NatGeo;0;13-12-2023;13-12-2023
36;2 combos burger + papas;OG Burgers;0;13-12-2023;13-12-2023
37;Escultura;Soledad Correa;0;13-12-2023;13-12-2023
